"Name","Age","Class/Dept","Ticket","Joined","Job","Boat [Body]"
"ASPLUND, Master Clarence Gustaf Hugo",9,"3rd Class Passenger","347077£31 7s 9d","Southampton","",""
"ASSAM, Mr Ali",23,"3rd Class Passenger","3101309£7 1s","Southampton","General Labourer",""
"ASTOR, Colonel John Jacob",47,"1st Class Passenger","17757£247 10s 6d","Cherbourg","Property Developer / Real Estate","[124]"
"ATĀ ALLĀH, Miss Malakah",18,"3rd Class Passenger","2627£14 9s 2d","Cherbourg","",""
"ATTALA, Mr Sleiman Khalil",27,"3rd Class Passenger","2694£7 4s 6d","Cherbourg","Journalist",""
"AUGUSTSSON, Mr Albert",23,"3rd Class Passenger","347468£7 17s 1d","Southampton","General Labourer",""
"AYLING, Mr Edwin George",23,"Victualling Crew","","Southampton","Assistant Vegetable Cook",""
"BACK, Mr Charles Frederick",37,"Victualling Crew","","Belfast","Assistant Lounge Steward",""
"BACKSTRÖM, Mr Karl Alfred",32,"3rd Class Passenger","3101278£15 17s","Southampton","General Labourer",""
"BADT, Mr Mohamed",40,"3rd Class Passenger","2623£7 4s 6d","Cherbourg","Farmer",""
"BAGLEY, Mr Edward Henry",33,"Victualling Crew","","Southampton","Saloon Steward",""
"BAILEY, Mr Percy",18,"2nd Class Passenger","29108£11 10s","Southampton","Butcher's Assistant",""
"BAILEY, Mr George Frank",46,"Engineering Crew","","Southampton","Fireman",""
"BAILEY, Mr George",44,"Victualling Crew","","Belfast","Saloon Steward","[161]"
"BAINBRIGGE, Mr Charles Robert",22,"2nd Class Passenger","31030£10 10s","Southampton","Horse Trainer",""
"BAINES, Mr Richard",58,"Engineering Crew","","Southampton","Greaser",""
"BALIKIĆ, Mr Ćerim",26,"3rd Class Passenger","349248£7 17s 11d","Southampton","General Labourer",""
"BANEWER, Mr Solomon",42,"2nd Class Passenger","211535£13","Southampton","Merchant",""
"BANFI, Mr Ugo",24,"Restaurant Staff","","Southampton","Waiter",""
"BANFIELD, Mr Frederick James",28,"2nd Class Passenger","34068£10 10s","Southampton","Miner",""
"BANNON, Mr John Joseph",34,"Engineering Crew","","Southampton","Greaser",""
"BARBARA, Mrs Catherine David",45,"3rd Class Passenger","2691£14 9s 1d","Cherbourg","Housekeeper",""
"BARBARA, Miss Saiide",18,"3rd Class Passenger","2691£14 9s 1d","Cherbourg","Housekeeper",""
"BARKER, Mr Albert Vale",19,"Victualling Crew","","Southampton","Baker",""
"BARKER, Mr Ernest Thomas",40,"Victualling Crew","","Southampton","Saloon Steward (1st class)","[159]"
"BARKER, Mr Reginald Lomond",42,"Victualling Crew","","Belfast","Second Purser, 1st Class",""
"BARLOW, Mr Charles Henry",30,"Engineering Crew","","Southampton","Fireman",""
"BARLOW, Mr George",39,"Victualling Crew","","Southampton","Bed Room Steward",""
"BARNES, Mr Charles",29,"Engineering Crew","","Southampton","Fireman",""
"BARNES, Mr John",39,"Engineering Crew","","Southampton","Fireman",""
"BARNES, Mr Frederick Charles",40,"Victualling Crew","","Southampton","Assistant baker","[26]"
"BARRATT, Mr Arthur",16,"Victualling Crew","","Southampton","Bell Boy",""
"BARRETT, Mr Frederick William",33,"Engineering Crew","","Southampton","Fireman",""
"BARRINGER, Mr Arthur William",34,"Victualling Crew","","Belfast","Saloon Steward (1st class)",""
"BARROW, Mr Charles Henry John",35,"Victualling Crew","","Southampton","Assistant butcher",""
"BARROWS, Mr Edward William Peter",32,"Victualling Crew","","Southampton","Saloon Steward",""
"BARRY, Miss Julia",30,"3rd Class Passenger","330844£7 17s 7d","Queenstown","Housekeeper",""
"BARTON, Mr David John",22,"3rd Class Passenger","324669£8 1s","Southampton","General Labourer",""
"BARTON, Mr Sidney John",26,"Victualling Crew","","Southampton","3rd Class Steward",""
"BASILICO, Mr Giovanni",27,"Restaurant Staff","","Southampton","Waiter",""
"BATEMAN, Revd Robert James",52,"2nd Class Passenger","1166£12 10s 6d","Southampton","Priest / Minister","[174]"
"BATOSHEV, Mr Hristo Lalev",23,"3rd Class Passenger","349217£7 17s 11d","Southampton","General Labourer",""
"BAUMANN, Mr John David",48,"1st Class Passenger","17318£25 18s 6d","Cherbourg","Businessman",""
"BAXTER, Mr Quigg Edmond",24,"1st Class Passenger","17558£247 10s 5d","Cherbourg","",""
"BAXTER, Mr Harry Ross",53,"Victualling Crew","","Southampton","3rd Class Steward",""
"BAXTER, Mr Thomas Ferguson",55,"Victualling Crew","","Southampton","Linen Steward (1st class)","[235]"
"BAZZĪ, Mr Rashīd Al-Hāj 'Adb al-Husayn",30,"3rd Class Passenger","2629£7 4s 7d","Cherbourg","",""
"BAZZI, Sig. Narciso",33,"Restaurant Staff","","Southampton","Waiter",""
"BEATTIE, Mr Thomson",36,"1st Class Passenger","13050£75 4s 10d","Southampton","Landowner","A [331]"
"BEATTIE, Mr Joseph John",40,"Engineering Crew","","Belfast","Greaser",""
"BEAUCHAMP, Mr Henry James",43,"2nd Class Passenger","244358£26","Southampton","Club Head Steward",""
"BEAVAN, Mr William Thomas",20,"3rd Class Passenger","323951£8 1s","Southampton","General Labourer",""
"BEDFORD, Mr William Barnett",31,"Victualling Crew","","Southampton","Assistant Roast Cook",""
"BEEDEM, Mr George Arthur",35,"Victualling Crew","","Southampton","2nd Class Bedroom Steward",""
"BEERE, Mr William",19,"Victualling Crew","","Southampton","Kitchen Porter",""
"BELL, Mr Joseph",51,"Engineering Crew","","Belfast","Chief Engineer",""
"BENDELL, Mr Frank",23,"Engineering Crew","","Southampton","Fireman",""
"BENGTSSON, Mr Jan Viktor",26,"3rd Class Passenger","347068£7 15s 6d","Southampton","General Labourer",""
"BENHAM, Mr Fred John",29,"Victualling Crew","","Southampton","Saloon Steward (2nd class)",""
"BENNETT, Mr George Alfred",30,"Engineering Crew","","Southampton","Fireman",""
"BENVILLE, Mr Edward",47,"Engineering Crew","","Southampton","Fireman",""
"BERGLUND, Mr Karl Ivar Sven",22,"3rd Class Passenger","4348£9 7s","Southampton","General Labourer",""
"BERNARDI, Sig. Battista",22,"Restaurant Staff","","Southampton","Assistant Waiter","[215]"
"BERRIMAN, Mr William John",23,"2nd Class Passenger","28425£13","Southampton","",""
"BESSANT, Mr William Edward Lowe",40,"Engineering Crew","","Southampton","Fireman",""
"BESSANT, Mr Edward",31,"Victualling Crew","","Southampton","1st class baggage steward",""
"BEST, Mr Edwin Alfred",40,"Victualling Crew","","Belfast","Saloon Steward (1st class)",""
"BEUX, Mr David",25,"Restaurant Staff","","Southampton","Assistant Waiter",""
"BEVIS, Mr Joseph Henry",22,"Engineering Crew","","Southampton","Trimmer",""
"BIDDLECOMBE, Mr Reginald Charles",31,"Engineering Crew","","Southampton","Fireman",""
"BIÉTRIX, Mr George Baptiste",28,"Restaurant Staff","","Southampton","Cook",""
"BIGGS, Mr Edward Charles",20,"Engineering Crew","","Southampton","Fireman",""
"BILLOWS, Mr James",20,"Engineering Crew","","Southampton","Trimmer",""
"BIRKELAND, Mr Hans Martin Monsen",21,"3rd Class Passenger","312992£7 15s 6d","Southampton","Seaman",""
"BIRNBAUM, Mr Jakob",24,"1st Class Passenger","13905£26","Cherbourg","Diamond Dealer","[148]"
"BISHOP, Mr Walter Alexander",34,"Victualling Crew","","Belfast","1st Class Bedroom Steward",""
"BJÖRKLUND, Mr Ernst Heribert",18,"3rd Class Passenger","347090£7 15s","Southampton","General Labourer",""
"BLACK, Mr D.",41,"Engineering CrewSubstitute Crew","","Southampton","Fireman",""
"BLACK, Mr Alexander",28,"Engineering Crew","","Southampton","Fireman",""
"BLACKMAN, Mr Albert Edward",23,"Engineering Crew","","Southampton","Fireman",""
"BLACKWELL, Mr Stephen Weart",45,"1st Class Passenger","113784£35 10s","Southampton","Businessman",""
"BLADES, Mr Frederick Charles",17,"Victualling Crew","","Southampton","Lift Steward",""
"BLAKE, Mr John Douglas Stanley George",26,"Engineering Crew","","Belfast","Mess Steward",""
"BLAKE, Mr Thomas Henry",36,"Engineering Crew","","Southampton","Fireman",""
"BLANEY, Mr James",32,"Engineering Crew","","Southampton","Fireman",""
"BLANN, Mr Eustace Horatius",21,"Engineering Crew","","Southampton","Fireman",""
"BLUMET, Mr Jean Baptiste",26,"Restaurant Staff","","Southampton","Pantryman",""
"BOCHATAY, Mr Alexis Joseph",30,"Victualling Crew","","Southampton","Chef",""
"BOCHET, Mr Pietro Giuseppe",43,"Restaurant Staff","","Southampton","Waiter",""
"BOGIE, Mr Norman Leslie",59,"Victualling Crew","","Southampton","2nd Class Bedroom Steward","[274]"
"BOLHUIS, Mr Hendrik",27,"Restaurant Staff","","Southampton","Larder Cook",""
"BOND, Mr William John",45,"Victualling Crew","","Belfast","Bed Room Steward",""
"BOOTHBY, Mr Walter Thomas",37,"Victualling Crew","","Southampton","2nd Class Bedroom Steward","[107]"
"BOREBANK, Mr John James",41,"1st Class Passenger","110489£26 11s","Southampton","Property Developer / Real Estate",""
"BOSTANDJIEV, Mr Gencho",26,"3rd Class Passenger","349224£7 17s 11d","Southampton","General Labourer",""
"BOSTON, Mr William John",32,"Victualling Crew","","Belfast","Assistant Deck Steward (1st Class)",""
"BOTSFORD, Mr William Hull",25,"2nd Class Passenger","237670£13","Southampton","",""
"BOTT, Mr William Thomas",46,"Engineering Crew","","Southampton","Greaser",""
"BOUGHTON, Mr Bernard John",24,"Victualling Crew","","Southampton","First class saloon steward",""
"BOULOS, Mr Hanna",18,"3rd Class Passenger","2664£7 4s 6d","Cherbourg","General Labourer",""
"BOURKE, Mr John",42,"3rd Class Passenger","364849£15 10s","Queenstown","Farmer",""
"BOURKE, Mrs Catherine",32,"3rd Class Passenger","364849£15 10s","Queenstown","Housewife",""
"BOURKE, Miss Mary",40,"3rd Class Passenger","364848£7 15s","Queenstown","",""
"BOWEN, Mr David John 'Dai'",20,"3rd Class Passenger","54636£16 2s","Southampton","Pugilist",""
"BOYD, Mr John",37,"Victualling Crew","","Southampton","Saloon Steward (1st class)",""
"BOYES, Mr John Henry",36,"Victualling Crew","","Belfast","Saloon Steward (1st class)",""
"BRACKEN, Mr James Hollen",30,"2nd Class Passenger","220367£13","Southampton","Stockman",""
"BRADLEY, Mr Thomas Henry",28,"Deck Crew","","Southampton","Able Seaman",""
"BRADLEY, Mr Patrick Joseph",38,"Engineering Crew","","Southampton","Fireman",""
"BRADSHAW, Mr John Albert Perkin",42,"Victualling Crew","","Southampton","Plate Steward (1st Class)",""
"BRADY, Mr John Bertram",41,"1st Class Passenger","113054£30 10s","Southampton","Businessman",""
"BRAF, Miss Elin Ester Maria",20,"3rd Class Passenger","347471£7 17s 1d","Southampton","Servant",""
"BRAILEY, Mr William Theodore Ronald",24,"2nd Class PassengerMusician",250654,"Southampton","Musician",""
"BRANDEIS, Mr Emil Franklin",48,"1st Class Passenger","17591£50 9s 11d","Cherbourg","","[208]"
"BRAUND, Mr Lewis Richard",29,"3rd Class Passenger","3460£7 11d","Southampton","Farm Labourer",""
"BRAUND, Mr Owen Harris",22,"3rd Class Passenger","21171£7 5s","Southampton","Ironmonger",""
"BREWE, Dr Arthur Jackson",45,"1st Class Passenger","112379£39 12s","Cherbourg","",""
"BREWER, Mr H",30,"Engineering Crew","","Southampton","Trimmer",""
"BREWSTER, Mr George Henry",52,"Victualling Crew","","Belfast","Bedroom Steward (1st Class)",""
"BRIANT, Mr Albert",34,"Engineering Crew","","Southampton","Greaser",""
"BRIANT, Mr Arthur",30,"Engineering Crew","","Southampton","Greaser",""
"BRICOUX, Mr Roger Marie",20,"2nd Class PassengerMusician",250654,"Southampton","Musician",""
"BRISTOW, Mr Robert Charles",38,"Victualling Crew","","Southampton","3rd Class Steward","[290]"
"BRISTOW, Mr Harry",38,"Victualling Crew","","Southampton","Saloon Steward",""
"BRITO, Mr José Joaquim de",40,"2nd Class Passenger","244360£13","Southampton","",""
"BROBÄCK, Mr Karl Rudolf",22,"3rd Class Passenger","350045£7 15s 11d","Southampton","Decorator",""
"BROCKLEBANK, Mr William Alfred",40,"3rd Class Passenger","364512£8 1s","Southampton","Groom",""
"BROOKMAN, Mr John Cress",28,"Victualling Crew","","Southampton","3rd Class Steward",""
"BROOKS, Mr J.",25,"Engineering Crew","","Southampton","Trimmer",""
"BROOM, Mr Herbert George",33,"Victualling Crew","","Belfast","Bath Steward",""
"BROOME, Mr Athol Frederick",31,"Victualling Crew","","Southampton","Verandah Steward (1st Class)",""
"BROWN, Mr Joseph",30,"Engineering CrewSubstitute Crew","","Southampton","Fireman",""
"BROWN, Mr Thomas William Solomon",60,"2nd Class Passenger","29750£39","Southampton","Hotelier",""
"BROWN, Mr John",28,"Engineering Crew","","Southampton","Fireman","[267]"
"BROWN, Mr Walter James",41,"Victualling Crew","","Belfast","Saloon Steward (1st class)",""
"BRYHL, Mr Kurt Arnold Gottfrid",25,"2nd Class Passenger","236853£26","Southampton","",""
"BUCKLEY, Miss Catherine",23,"3rd Class Passenger","329944£7 5s 8d","Queenstown","","[299]"
"BUCKLEY, Mr H. E.",34,"Victualling Crew","","Southampton","Assistant Vegetable Cook",""
"BULL, Mr Walter Edward",36,"Victualling Crew","","Southampton","Scullion",""
"BULLEY, Mr Henry Ashburnham",21,"Victualling Crew","","Southampton","Boots Steward (2nd class)",""
"BŪLUS, Mrs Sultānah",40,"3rd Class Passenger","2678£15 4s 11d","Cherbourg","",""
"BŪLUS, Miss Nūr al-'ayn",10,"3rd Class Passenger","2678£15 4s 11d","Cherbourg","",""
"BŪLUS, Master Akar",7,"3rd Class Passenger","2678£15 4s 11d","Cherbourg","",""
"BUNNELL, Mr Wilfred James",20,"Victualling Crew","","Belfast","Plate Steward",""
"BURKE, Mr Jeremiah",19,"3rd Class Passenger","365222£6 15s","Queenstown","Farm Labourer",""
"BURKE, Mr Richard Edward",29,"Victualling Crew","","Belfast","Lounge Steward (1st class)",""
"BURNS, Miss Mary Delia",15,"3rd Class Passenger","330963£7 17s 7d","Queenstown","",""
"BURR, Mr Ewart Sydenham",28,"Victualling Crew","","Southampton","Saloon Steward (1st class)",""
"BURROUGHS, Mr Arthur Peckham",34,"Engineering Crew","","Southampton","Fireman",""
"BURTON, Mr Edward John",35,"Engineering Crew","","Southampton","Fireman",""
"BUTLER, Mr Reginald Fenton",25,"2nd Class Passenger","234686£13","Southampton","Mechanical Engineer","[97]"
"BUTRUS-KA'WĪ, Mr Tannūs",21,"3rd Class Passenger","2648£7 4s 7d","Cherbourg","Shoemaker",""
"BUTT, Major Archibald Willingham",46,"1st Class Passenger","113050£26 11s","Southampton","Military",""
"BUTT, Mr William John",30,"Engineering Crew","","Southampton","Fireman","[77]"
"BUTT, Mr Robert Henry",21,"Victualling Crew","","Southampton","Saloon Steward","[10]"
"BUTTERWORTH, Mr Jack",23,"Victualling Crew","","Southampton","Saloon Steward","[116]"
"BYLES, Fr Thomas Roussel Davids",42,"2nd Class Passenger","244310£13","Southampton","Priest / Minister",""
"BYRNE, Mr James Edward",44,"Victualling Crew","","Southampton","Bedroom Steward (2nd Class)",""
"ČAČIĆ, Mr Jego Grga",18,"3rd Class Passenger","315091£8 13s 3d","Southampton","Farmer",""
"ČAČIĆ, Mr Luka",38,"3rd Class Passenger","315089£8 13s 3d","Southampton","Farmer",""
"ČAČIĆ, Miss Marija",36,"3rd Class Passenger","315084£8 13s 3d","Southampton","Farm Labourer",""
"ČAČIĆ, Miss Manda",20,"3rd Class Passenger","315087£8 13s 3d","Southampton","Farm Labourer",""
"CAIRNS, Mr Alexander Milne",28,"1st Class PassengerServant","113798£31","Southampton","Servant",""
"CALDERWOOD, Mr Hugh",33,"Engineering Crew","","Belfast","Trimmer",""
"ČALIĆ, Mr Petar",17,"3rd Class Passenger","315086£8 13s 3d","Southampton","Farm Labourer",""
"ČALIĆ, Mr Jovo",17,"3rd Class Passenger","315093£8 13s 3d","Southampton","",""
"CAMPBELL, Mr William",20,"2nd Class PassengerH&W Guarantee Group",239853,"Belfast","Carpenter / Joiner",""
"CAMPBELL, Mr Donald Samuel",28,"Victualling Crew","","Southampton","3rd Class Clerk",""
"CANAVAN, Miss Mary",22,"3rd Class Passenger","364846£7 15s","Queenstown","",""
"CANAVAN, Mr Patrick",21,"3rd Class Passenger","364858£7 15s","Queenstown","General Labourer",""
"CANN, Mr Ernest",29,"3rd Class Passenger","2152£8 1s","Southampton","Miner",""
"CANNER, Mr John",40,"Engineering Crew","","Southampton","Fireman",""
"CARAM, Mr Joseph",28,"3rd Class Passenger","2689£14 9s 2d","Cherbourg","Merchant",""
"CARAM, Mrs Maria Elias",18,"3rd Class Passenger","2689£14 9s 2d","Cherbourg","Housekeeper",""
"CARBINES, Mr William",19,"2nd Class Passenger","28424£13","Southampton","Miner","[18]"
"CARLSSON, Mr Frans Olof",33,"1st Class Passenger","695£5","Southampton","",""
"CARLSSON, Mr Carl Robert",24,"3rd Class Passenger","350409£7 17s 1d","Southampton","General Labourer",""
"CARLSSON, Mr August Sigfrid",28,"3rd Class Passenger","350042£7 15s 11d","Southampton","Farmer",""
"CARNEY, Mr William John",31,"Victualling Crew","","Southampton","Lift Steward","[251]"
"CARR, Miss Jane",45,"3rd Class Passenger","368364£7 15s","Queenstown","",""
"CARR, Mr Richard Stephen",27,"Engineering Crew","","Southampton","Trimmer",""
"CARRAU, Mr Francisco Mauro Severiano",27,"1st Class Passenger","113059£47 2s","Southampton","",""
"CARRAÚ-ESTEVES, Mr José Pedro",17,"1st Class Passenger","113059£47 2s","Southampton","",""
"CARTER, Rev. Ernest Courtenay",54,"2nd Class Passenger","244252£26","Southampton","Priest / Minister",""
"CARTER, Mrs Lilian",45,"2nd Class Passenger","244252£26","Southampton","",""
"CARTER, Mr James",46,"Engineering Crew","","Southampton","Fireman",""
"CARTWRIGHT, Mr James Edward",32,"Victualling Crew","","Belfast","Saloon Steward","[320]"
"CARVER, Mr Alfred John",27,"3rd Class Passenger","370160£7 5s","Southampton","Seaman",""
"CASALI, Mr Giulio",32,"Restaurant Staff","","Southampton","Waiter",""
"CASE, Mr Howard Brown",49,"1st Class Passenger","19924£26","Southampton","",""
"CASEY, Mr Thomas",44,"Engineering Crew","","Southampton","Trimmer",""
"CASSWILL, Mr Charles",34,"Victualling Crew","","Southampton","Saloon Steward",""
"CASTLEMAN, Mr Edward",37,"Engineering Crew","","Southampton","Greaser",""
"CAUNT, Mr William Ewart",28,"Victualling Crew","","Southampton","Grill Cook",""
"CAVE, Mr Herbert",39,"Victualling Crew","","Belfast","Saloon Steward (1st class)","[218]"
"CAVENDISH, Mr Tyrell William",36,"1st Class Passenger","19877£78 17s","Southampton","","[172]"
"CECIL, Mr Charles Thomas",21,"Victualling Crew","","Southampton","Steward",""
"CELOTTI, Mr Francesco",24,"3rd Class Passenger","343275£8 1s","Southampton","Stoker",""
"CHABOISSON, Mr Adrien Firmin",25,"Restaurant Staff","","Southampton","Roast Cook",""
"CHAFFEE, Mr Herbert Fuller",46,"1st Class Passenger","5734£61 3s 6d","Southampton","",""
"CHAPMAN, Mr Charles Henry",51,"2nd Class Passenger","248731£13 10s","Southampton","","[130]"
"CHAPMAN, Mr John Henry",37,"2nd Class Passenger","29037£26","Southampton","Cemetery Labourer","[17]"
"CHAPMAN, Mrs Sarah Elizabeth",30,"2nd Class Passenger","29037£26","Southampton","",""
"CHARMAN, Mr John James",25,"Victualling Crew","","Southampton","Saloon Steward (2nd class)",""
"CHARTERS, Mr David",20,"3rd Class Passenger","13032£7 14s 8d","Queenstown","General Labourer",""
"CHERRETT, Mr William Victor",24,"Engineering Crew","","Southampton","Fireman",""
"CHEVERTON, Mr William Frederick",27,"Victualling Crew","","Belfast","Saloon Steward (1st class)","[334]"
"CHISHOLM, Mr Roderick",43,"1st Class PassengerH&W Guarantee Group",112051,"Belfast","Draughtsman",""
"CHISNALL, Mr George Alexander",36,"Engineering Crew","","Belfast","Boilermaker","[111]"
"CHITTY, Mr Archibald George",28,"Victualling Crew","","Southampton","Third Class Steward",""
"CHITTY, Mr George Henry",50,"Victualling Crew","","Southampton","Baker",""
"CHORLEY, Mr John Henry",25,"Engineering Crew","","Southampton","Fireman",""
"CHRISTMANN, Mr Emil",29,"3rd Class Passenger","343276£8 1s","Southampton","Clerk",""
"CHRISTMAS, Mr Herbert Harry",34,"Victualling Crew","","Southampton","Assistant Saloon Steward (2nd class)",""
"CHRONOPOULOS, Mr Apostolos M.",26,"3rd Class Passenger","2680£14 9s 1d","Cherbourg","General Labourer",""
"CHRONOPOULOS, Mr Dimitrios M.",21,"3rd Class Passenger","2680£14 9s 1d","Cherbourg","General Labourer",""
"CLARK, Mr Walter Miller",27,"1st Class Passenger","13508£136 15s 7d","Cherbourg","",""
"CLARKE, Mr John Frederick Preston",28,"2nd Class PassengerMusician",250654,"Southampton","Musician","[202]"
"CLARKE, Mr Charles Valentine",29,"2nd Class Passenger","2003£26","Southampton","Dairy Worker",""
"CLENCH, Mr George James",31,"Deck Crew","","Southampton","Able Seaman",""
"CLIFFORD, Mr George Quincy",40,"1st Class Passenger","110465£52","Southampton","",""
"COE, Mr Harry",21,"Engineering Crew","","Southampton","Trimmer",""
"COELHO, Mr Domingos Fernandeo",20,"3rd Class Passenger","3101307£7 1s","Southampton","General Labourer",""
"COLBERT, Mr Patrick",24,"3rd Class Passenger","371109£7 5s","Queenstown","Railway Porter",""
"COLEMAN, Mr John",57,"Engineering Crew","","Belfast","Engineers' Mess steward",""
