id,Name,Age,Class/Dept,Ticket,Joined,Job,Boat [Body]
41,"BECKER, Miss Ruth Elizabeth",12,2nd Class Passenger,230136£39,Southampton,,13
42,"BECKWITH, Mr Richard Leonard",37,1st Class Passenger,11751£52 11s 1d,Southampton,Realtor,5
43,"BECKWITH, Mrs Sarah Maybell",46,1st Class Passenger,11751£52 11s 1d,Southampton,,5
44,"BEESLEY, Mr Lawrence",34,2nd Class Passenger,248698£13,Southampton,Teacher,13
45,"BEHR, Mr Karl Howell",26,1st Class Passenger,111369£30,Cherbourg,,5
46,"BENTHAM, Miss Lillian Winifred",19,2nd Class Passenger,28404£13,Southampton,,12
47,"BESSETTE, Miss Nellie Mayo",39,1st Class PassengerServant,17760£63 7s 2d,Cherbourg,Personal Maid,8
48,"BIDOIS, Miss Rosalie",46,1st Class PassengerServant,17757£247 10s 6d,Cherbourg,Personal Maid,4
49,"BING, Mr Lee",32,3rd Class Passenger,1601£56 9s 11d,Southampton,Seaman,
50,"BIRD, Miss Ellen",31,1st Class PassengerServant,17483£221 15s 7d,Southampton,Personal Maid,8*
51,"BISHOP, Mr Dickinson H.",25,1st Class Passenger,11967£91 1s 7d,Cherbourg,,7
52,"BISHOP, Mrs Helen Margaret",19,1st Class Passenger,11967£91 1s 7d,Cherbourg,,7
53,"BJÖRNSTRÖM-STEFFANSSON, Mr Mauritz Håkan",28,1st Class Passenger,110564£26 11s,Southampton,Businessman,D
54,"BLANK, Mr Henry",39,1st Class Passenger,112277£31,Cherbourg,Jeweller,7*
55,"BONNELL, Miss Caroline",30,1st Class Passenger,36928£164 17s 4d,Southampton,,8
56,"BONNELL, Miss Elizabeth",61,1st Class Passenger,113783£26 11s,Southampton,,8
57,"BOWEN, Miss Grace Scott",45,1st Class PassengerServant,17608£262 7s 6d,Cherbourg,Governess,4
58,"BOWERMAN, Miss Elsie Edith",22,1st Class Passenger,113505£55,Southampton,,6
59,"BRADLEY, Miss Bridget",22,3rd Class Passenger,334914£7 14s 6d,Queenstown,,
60,"BRERETON, Mr George Andrew",37,1st Class Passenger,111427£26 11s,Southampton,Gambler,9*
61,"BROWN, Miss Amelia Mary",18,2nd Class PassengerServant,248733£13,Southampton,Cook (Personal),11
62,"BROWN, Mrs Caroline Lane",59,1st Class Passenger,11769£51 9s 7d,Southampton,,4*
63,"BROWN, Mrs Margaret",44,1st Class Passenger,17610£27 14s 5d,Cherbourg,Socialite,6
64,"BROWN, Mrs Elizabeth Catherine",44,2nd Class Passenger,29750£39,Southampton,,14
65,"BROWN, Miss Edith Eileen",15,2nd Class Passenger,29750£39,Southampton,Scholar,14
66,"BRYHL, Miss Dagmar Jenny Ingeborg",20,2nd Class Passenger,236853£26,Southampton,,12
67,"BUCKLEY, Mr Daniel",21,3rd Class Passenger,330920£7 15s 17d,Queenstown,Farm Labourer,
68,"BUCKNELL, Mrs Emma Eliza",58,1st Class Passenger,11813£76 5s 10d,Cherbourg,,8
69,"BURNS, Miss Elizabeth Margaret",41,1st Class PassengerServant,16966£134 10s,Cherbourg,Nursemaid,3
70,"BUSS, Miss Kate",36,2nd Class Passenger,27849£13,Southampton,,9
71,"BYSTRÖM, Mrs Karolina",39,2nd Class Passenger,236852£13,Southampton,,
72,"CALDERHEAD, Mr Edward Pennington",42,1st Class Passenger,17476£26 5s 9d,Southampton,,5
73,"CALDWELL, Mr Albert Francis",26,2nd Class Passenger,248738£29,Southampton,,13
74,"CALDWELL, Mrs Sylvia Mae",28,2nd Class Passenger,248738£29,Southampton,,13
75,"CALDWELL, Master Alden Gates",10m,2nd Class Passenger,248738£29,Southampton,,13
76,"CAMERON, Miss Clear Annie",35,2nd Class Passenger,13528£21,Southampton,Personal Maid,14
77,"CANDEE, Mrs Helen Churchill",52,1st Class Passenger,17606£27 8s 11d,Cherbourg,Writer,6
78,"CARDEZA, Mrs Charlotte Wardle",58,1st Class Passenger,17755£512 6s 7d,Cherbourg,,3
79,"CARDEZA, Mr Thomas Drake Martinez",36,1st Class Passenger,17755£512 6s 7d,Cherbourg,Gentleman,3
80,"CARTER, Mr William Ernest",36,1st Class Passenger,113760£120,Southampton,Businessman,C
81,"CARTER, Mrs Lucile",36,1st Class Passenger,113760£120,Southampton,,4
82,"CARTER, Miss Lucile Polk",14,1st Class Passenger,113760£120,Southampton,,4
83,"CARTER, Master William Thornton II",11,1st Class Passenger,113760£120,Southampton,,4
84,"CASSEBEER, Mrs Eleanor Genevieve",36,1st Class Passenger,17770£27 14s 5d,Cherbourg,,5
85,"CAVENDISH, Mrs Julia Florence",25,1st Class Passenger,19877£78 17s,Southampton,,6
86,"CHAFFEE, Mrs Carrie Constance",47,1st Class Passenger,5734£61 3s 6d,Southampton,,11*
87,"CHAMBERS, Mr Norman Campbell",27,1st Class Passenger,113806£53 2s,Southampton,,5
88,"CHAMBERS, Mrs Bertha",32,1st Class Passenger,113806£53 2s,Southampton,,5
89,"CHAUDANSON, Miss Victorine",36,1st Class PassengerServant,17608£262 7s 6d,Cherbourg,Personal Maid,4
90,"CHERRY, Miss Gladys",30,1st Class Passenger,110152£86 10s,Southampton,Of Independent Means,8
91,"CHEVRÉ, Mr Paul Romaine Marie Léonce",45,1st Class Passenger,17594£29 14s,Cherbourg,Sculptor,7*
92,"CHIBNALL, Mrs Edith Martha Bowerman",48,1st Class Passenger,113505£55,Southampton,Of Independent Means,6
93,"CHIP, Mr Chang",32,3rd Class Passenger,1601£56 9s 11d,Southampton,Seaman,
94,"CHRISTY, Mrs Alice Frances",52,2nd Class Passenger,237789£30,Southampton,,
95,"CHRISTY, Miss Rachel Juli Cohen",25,2nd Class Passenger,237789£30,Southampton,,
96,"CLARK, Mrs Virginia Estelle",26,1st Class Passenger,13508£136 15s 7d,Cherbourg,,4
97,"CLARKE, Mrs Ada Maria",28,2nd Class Passenger,2003£26,Southampton,,14
98,"CLEAVER, Miss Alice Catherine",22,1st Class PassengerServant,113781£151 16s,Southampton,Nursemaid,11
99,"COHEN, Mr Gurshon",19,3rd Class Passenger,3540£8 1s,Southampton,Printer / Compositor,12*
100,"COLLETT, Mr Sidney Clarence Stuart",25,2nd Class Passenger,28034£10 10s,Southampton,,9
101,"COLLYER, Mrs Charlotte Caroline",30,2nd Class Passenger,31921£26 5s,Southampton,,14
102,"COLLYER, Miss Marjorie Lottie",8,2nd Class Passenger,31921£26 5s,Southampton,,14
103,"COMPTON, Mrs Mary Eliza",64,1st Class Passenger,17756£83 3s 2d,Cherbourg,,14
104,"COMPTON, Miss Sara Rebecca",39,1st Class Passenger,17756£83 3s 2d,Cherbourg,,14
105,"CONNOLLY, Miss Catherine",23,3rd Class Passenger,370373£7 15s,Queenstown,,13*
106,"COOK, Mrs Selena",22,2nd Class Passenger,14266£10 10s,Southampton,,14
107,"CORNELL, Mrs Malvina Helen",55,1st Class Passenger,11770£25 14s 10d,Southampton,,2
108,"CORR, Miss Ellen",16,3rd Class Passenger,367231£7 15s,Queenstown,,
109,"COUTTS, Mrs Minnie",36,3rd Class Passenger,37671£15 18s,Southampton,,2
110,"COUTTS, Master William Loch",9,3rd Class Passenger,37671£15 18s,Southampton,,2
111,"COUTTS, Master Neville Leslie",3,3rd Class Passenger,37671£15 18s,Southampton,,2
112,"CRIBB, Miss Laura May",16,3rd Class Passenger,371362£16 2s,Southampton,Shop Assistant,
113,"CROSBY, Mrs Catherine Elizabeth",64,1st Class Passenger,5735£71,Southampton,,
114,"CROSBY, Miss Harriette Rebecca",39,1st Class Passenger,112901£26 11s,Southampton,,
115,"CUMINGS, Mrs Florence Briggs",35,1st Class Passenger,17599£71 5s 8d,Cherbourg,,4
116,"DAHL, Mr Charles Edward",45,3rd Class Passenger,7598£8 1s,Southampton,Carpenter / Joiner,15
117,"DALY, Mr Peter Dennis",51,1st Class Passenger,113055£26 11s,Southampton,Businessman,A*
118,"DALY, Miss Margaret",33,3rd Class Passenger,382650£6 19s,Queenstown,Seamstress,
119,"DALY, Mr Eugene Patrick",29,3rd Class Passenger,382651£7 15s,Queenstown,Farm Labourer,B*
120,"DANIEL, Mr Robert Williams",27,1st Class Passenger,113804£30 10s,Southampton,,7*
121,"DANIELS, Miss Sarah",33,1st Class PassengerServant,113781£151 16s,Southampton,Personal Maid,8*
122,"DAVIDSON, Mrs Orian",27,1st Class Passenger,12750£52,Cherbourg,,3
123,"DAVIES, Mrs Agnes",48,2nd Class Passenger,33112£36 15s,Southampton,,14*
124,"DAVIES, Master John Morgan jr",8,2nd Class Passenger,33112£36 15s,Southampton,,14*
125,"DAVIS, Miss Mary Ann Charlotte",28,2nd Class Passenger,237668£13,Southampton,,
126,"DAVISON, Mrs Mary Elizabeth",34,3rd Class Passenger,386525£16 2s,Southampton,,10
127,"DE MESSEMAEKER, Mr Guillaume Joseph",36,3rd Class Passenger,345572£17 8s,Southampton,,15
128,"DE MESSEMAEKER, Mrs Anna",36,3rd Class Passenger,345572£17 8s,Southampton,,13
129,"DE MULDER, Mr Theodoor",30,3rd Class Passenger,345774£9 10s,Southampton,,
130,"DEAN, Mrs Eva Georgetta",32,3rd Class Passenger,2315£20 11s 6d,Southampton,,10
131,"DEAN, Master Bertram Vere",1,3rd Class Passenger,2315£20 11s 6d,Southampton,,10
132,"DEAN, Miss Eliza Gladys Millvina",2m,3rd Class Passenger,2315£20 11s 6d,Southampton,,10
133,"DEL CARLO, Mrs Argene",24,2nd Class Passenger,2167£27 14s 5d,Cherbourg,,
134,"DEVANEY, Miss Margaret Bedelia",20,3rd Class Passenger,330958£7 17s 7d,Queenstown,,
135,"DICK, Mr Albert Adrian",31,1st Class Passenger,17474£57,Southampton,,3
136,"DICK, Mrs Vera",20,1st Class Passenger,17474£57,Southampton,,3
137,"DODGE, Dr Washington",52,1st Class Passenger,33638£81 17s 2d,Southampton,Politician,13
138,"DODGE, Mrs Ruth",38,1st Class Passenger,33638£81 17s 2d,Southampton,,5
139,"DODGE, Master Washington",4,1st Class Passenger,33638£81 17s 2d,Southampton,,5
140,"DOLING, Mrs Ada Julia Elizabeth",34,2nd Class Passenger,231919£23,Southampton,,
141,"DOLING, Miss Elsie",18,2nd Class Passenger,231919£23,Southampton,,
142,"DORKINGS, Mr Edward Arthur",18,3rd Class Passenger,10482£8 1s,Southampton,Groom,B*
143,"DOUGLAS, Mrs Mahala",48,1st Class Passenger,17761£106 8s 6d,Cherbourg,,2
144,"DOUGLAS, Mrs Mary Hélène",27,1st Class Passenger,17558£247 10s 5d,Cherbourg,,6*
145,"DOWDELL, Miss Elizabeth",31,3rd Class Passenger,364516£12 9s 6d,Southampton,Housekeeper,13
146,"DREW, Mrs Maria Louisa Thorne",34,2nd Class Passenger,28220£32 10s,Southampton,,
147,"DREW, Master Marshall Brines",8,2nd Class Passenger,28220£32 10s,Southampton,,
148,"DRISCOLL, Miss Bridget",27,3rd Class Passenger,14311£7 15s,Queenstown,,
149,"DROPKIN, Miss Jennie",24,3rd Class Passenger,392083£8 1s,Southampton,Box Maker,
150,"DUFF GORDON, Sir Cosmo Edmund",49,1st Class Passenger,11755£39 12s,Cherbourg,Landowner,1
151,"DUFF GORDON, Lucy Christiana, Lady",48,1st Class Passenger,17485£56 18s 7d,Cherbourg,Dressmaker / Couturiere,1
152,"DUQUEMIN, Mr Joseph Pierre",24,3rd Class Passenger,752£7 11s,Southampton,Mason,D
153,"DURÁN I MONÉ, Miss Florentina",30,2nd Class Passenger,2148£13 17s 2d,Cherbourg,,12
154,"DURÁN I MONÉ, Miss Asuncion",27,2nd Class Passenger,2149£13 17s 2d,Cherbourg,,12
155,"DYKER, Mrs Anna Elisabeth Judith",22,3rd Class Passenger,347072£13 18s,Southampton,Singer,
156,"EARNSHAW, Mrs Olive",23,1st Class Passenger,11767£83 3s 2d,Cherbourg,Of Independent Means,7
157,"EMANUEL, Miss Virginia Ethel",6,3rd Class Passenger,364516£12 9s 6d,Southampton,,13
158,"ENDRES, Miss Caroline Louise",39,1st Class PassengerServant,17757£247 10s 6d,Cherbourg,Nurse,4
159,"EUSTIS, Miss Elizabeth Mussey",54,1st Class Passenger,36947£78 5s 4d,Cherbourg,,4
160,"FINOLI, Mr Luigi",41,3rd Class Passenger,3101308£7 1s,Southampton,,15*
161,"FLEGENHEIM, Mrs Antoinette",48,1st Class Passenger,17598£31 13s 8d,Cherbourg,,7
162,"FLEMING, Miss Margaret",42,1st Class PassengerServant,17421£110 17s 8d,Cherbourg,Personal Maid,4
163,"FLYNN, Mr John Irwin",36,1st Class Passenger,PC 14474£26 5s 9d,Southampton,,5
164,"FOO, Mr Choong",32,3rd Class Passenger,1601£56 9s 11d,Southampton,Seaman,
165,"FORTUNE, Mrs Mary",60,1st Class Passenger,19950£263,Southampton,,10*
166,"FORTUNE, Miss Ethel Flora",28,1st Class Passenger,19950£263,Southampton,,10*
167,"FORTUNE, Miss Alice Elizabeth",24,1st Class Passenger,19950£263,Southampton,,10*
168,"FORTUNE, Miss Mabel Helen",23,1st Class Passenger,19950£263,Southampton,,10*
169,"FRANCATELLI, Miss Laura Mabel",31,1st Class PassengerServant,17485£56 18s 7d,Cherbourg,Secretary,1
170,"FRAUENTHAL, Mr Isaac Gerry",43,1st Class Passenger,17765£27 14s 5d,Cherbourg,,5
171,"FRAUENTHAL, Dr Henry William",49,1st Class Passenger,17611£133 13s,Southampton,Doctor,5
172,"FRAUENTHAL, Mrs Clara",42,1st Class Passenger,17611£133 13s,Southampton,,5
173,"FRÖLICHER, Miss Hedwig Margaritha",22,1st Class Passenger,13568£49 10s,Cherbourg,,5
174,"FRÖLICHER-STEHLI, Mr Maximilian Josef",60,1st Class Passenger,13567£79 4s,Cherbourg,,5
175,"FRÖLICHER-STEHLI, Mrs Margaretha Emerentia",48,1st Class Passenger,13567£79 4s,Cherbourg,,5
176,"FUTRELLE, Mrs Lily May",35,1st Class Passenger,113803£53 2s,Southampton,,9
177,"GARSIDE, Miss Ethel",39,2nd Class Passenger,243880£13,Southampton,,
178,"GIBSON, Mrs Pauline Caroline",45,1st Class Passenger,112378£59 8s,Cherbourg,,7
179,"GIBSON, Miss Dorothy Winifred",22,1st Class Passenger,112378£59 8s,Cherbourg,,7
180,"GIEGER, Miss Amalie Henriette",35,1st Class PassengerServant,113503£211 10s,Southampton,Personal Maid,4
181,"GILNAGH, Miss Kate",17,3rd Class Passenger,35851£7 14s 8d,Queenstown,,
182,"GLYNN, Miss Mary Agatha",18,3rd Class Passenger,335677£7 15s,Queenstown,Maid,13
183,"GOLDENBERG, Mr Samuel Levi",47,1st Class Passenger,17453£89 2s 1d,Cherbourg,,5
184,"GOLDENBERG, Mrs Nella Carlynne",46,1st Class Passenger,17453£89 2s 1d,Cherbourg,,5
185,"GOLDSMITH, Mrs Emily Alice",31,3rd Class Passenger,363291£20 10s 6d,Southampton,,C
186,"GOLDSMITH, Master Frank John William",9,3rd Class Passenger,363291£20 10s 6d,Southampton,,C
187,"GRACIE, Colonel Archibald",53,1st Class Passenger,113780£28 10s,Southampton,Writer,B
188,"GRAHAM, Mrs Edith",58,1st Class Passenger,17582£153 9s 3d,Southampton,,3*
189,"GRAHAM, Miss Margaret Edith",19,1st Class Passenger,17582£153 9s 3d,Southampton,,3*
190,"GREENFIELD, Mrs Blanche",45,1st Class Passenger,17759£63 7s 2d,Cherbourg,,7
191,"GREENFIELD, Mr William Bertram",23,1st Class Passenger,17759£63 7s 2d,Cherbourg,,7
192,"HAKKARAINEN, Mrs Elin Matilda",24,3rd Class Passenger,3101279£15 17s,Southampton,,10*
193,"HÄMÄLÄINEN, Mrs Anna Lydia Amanda",23,2nd Class Passenger,250649£14 10s,Southampton,,
194,"HÄMÄLÄINEN, Master Viljo Unto Johannes",1,2nd Class Passenger,250649£14 10s,Southampton,,
195,"ḤANNĀ, Mr Mubārik Sulaymān Abī Āsī",27,3rd Class Passenger,2663£7 4s 7d,Cherbourg,,15*
196,"HANSEN, Mrs Jennie Louise",45,3rd Class Passenger,350026£14 2s 2d,Southampton,,11
197,"HARDER, Mr George Achilles",25,1st Class Passenger,11765£55 8s 10d,Cherbourg,Businessman,5
198,"HARDER, Mrs Dorothy",21,1st Class Passenger,11765£55 8s 10d,Cherbourg,,5
199,"HARPER, Mr Henry Sleeper",48,1st Class Passenger,17572£76 14s 7d,Cherbourg,Of Independent Means,3
200,"HARPER, Mrs Myra Raymond",49,1st Class Passenger,17572£76 14s 7d,Cherbourg,,3
201,"HARPER, Miss Annie Jessie",6,2nd Class Passenger,248727£33,Southampton,,11
202,"HARRIS, Mrs Irene",35,1st Class Passenger,36973£83 9s 6d,Southampton,,D
203,"HARRIS, Mr George",62,2nd Class Passenger,752£10 10s,Southampton,,15*
204,"HART, Mrs Emily Esther Louisa",48,2nd Class Passenger,13529£26 5s,Southampton,,14
205,"HART, Miss Eva Miriam",7,2nd Class Passenger,13529£26 5s,Southampton,,14
206,"HASSAB, Mr Hammad",27,1st Class PassengerServant,17572£76 14s 7d,Cherbourg,Servant,3
207,"HAWKSFORD, Mr Walter James",45,1st Class Passenger,16988£30,Southampton,Sales Manager,3*
208,"HAYS, Mrs Clara Jennings",52,1st Class Passenger,12749£93 10s,Southampton,,3
209,"HAYS, Miss Margaret Bechstein",24,1st Class Passenger,11767£83 3s 2d,Cherbourg,,7
210,"HEALY, Miss Honor",33,3rd Class Passenger,370375£7 15s,Queenstown,Farmer,
211,"HEDMAN, Mr Oskar Arvid",27,3rd Class Passenger,347089£6 19s 6d,Southampton,Settler Recruiter,15*
212,"HEE, Mr Ling",24,3rd Class Passenger,1601£56 9s 11d,Southampton,Seaman,
213,"HEIKKINEN, Miss Laina Maria",16,3rd Class Passenger,3101282£7 18s 6d,Southampton,,
214,"HELLSTRÖM, Miss Hilda Maria",22,3rd Class Passenger,7548£8 19s 3d,Southampton,,C*
215,"HERMAN, Mrs Jane",50,2nd Class Passenger,220845£65,Southampton,,
216,"HERMAN, Miss Alice",24,2nd Class Passenger,220845£65,Southampton,,
217,"HERMAN, Miss Kate",24,2nd Class Passenger,220845£65,Southampton,,
218,"HEWLETT, Mrs Mary Dunbar",56,2nd Class Passenger,248706£16,Southampton,,13
219,"HIPPACH, Mrs Ida Sophia",44,1st Class Passenger,111361£57 19s 7d,Cherbourg,,4
220,"HIPPACH, Miss Gertrude Isabelle",17,1st Class Passenger,111361£57 19s 7d,Cherbourg,,4
221,"HIRVONEN, Mrs Helga Elisabeth Lindqvist",22,3rd Class Passenger,3101298£12 5s 9d,Southampton,,
222,"HIRVONEN, Miss Hildur Elisabeth",2,3rd Class Passenger,3101298£12 5s 9d,Southampton,,
223,"HOCKING, Mrs Eliza",54,2nd Class Passenger,29105£23,Southampton,,
224,"HOCKING, Miss Ellen",20,2nd Class Passenger,29105£23,Southampton,,
225,"HOGEBOOM, Mrs Anna Louisa",51,1st Class Passenger,13502£77 19s 2d,Cherbourg,Of Independent Means,10
226,"HOLD, Mrs Annie Margaret",29,2nd Class Passenger,26707£26,Southampton,,
227,"HOLVERSON, Mrs Mary Alice",35,1st Class Passenger,113789£52,Southampton,,
228,"HOMER, Mr Harry Haven",40,1st Class Passenger,111426£26 11s,Southampton,Gambler,15*
229,"HONKANEN, Miss Eliina",28,3rd Class Passenger,3101283£7 18s 6d,Southampton,,
230,"HOSONO, Mr Masabumi",41,2nd Class Passenger,237798£13,Southampton,Civil Servant,10
231,"HOWARD, Miss May Elizabeth",26,3rd Class Passenger,39186£8 1s,Southampton,Laundry Worker,C
232,"HOYT, Mr Frederick Maxfield",38,1st Class Passenger,19943£100,Southampton,,D
233,"HOYT, Mrs Jane Anne",33,1st Class Passenger,19943£100,Southampton,,D
234,"HYMAN, Mr Joseph Abraham",31,3rd Class Passenger,3470£7 17s 9d,Southampton,Framer,13*
235,"IBRĀHĪM, Mrs Sāfiyah",18,3rd Class Passenger,2657£7 4s 7d,Cherbourg,,
236,"ICARD, Miss Rose Amélie",39,1st Class PassengerServant,113572£80,Southampton,Personal Maid,6
237,"ILETT, Miss Bertha",17,2nd Class Passenger,14885£10 10s,Southampton,,14
238,"ISMAY, Mr Joseph Bruce",49,1st Class Passenger,112058,Southampton,Shipowner,C
239,"JACOBSOHN, Mrs Amy Frances Christy",24,2nd Class Passenger,243847£27,Southampton,,
240,"JALŠEVAC, Mr Ivan",30,3rd Class Passenger,349240£7 17s 11d,Cherbourg,,
241,"JANSSON, Mr Carl Olof",21,3rd Class Passenger,350034£7 15s 11d,Southampton,,A
242,"JERMYN, Miss Annie Jane",26,3rd Class Passenger,14313£7 15s,Queenstown,,
243,"JERWAN, Mrs Marie Marthe",23,2nd Class Passenger,541£13 15s 10d,Cherbourg,,11*
244,"JOHANNESEN, Mr Bernt Johannes",29,3rd Class Passenger,65306£8 2s 3d,Southampton,,13
245,"JOHANSSON, Mr Oscar Wilhelm",32,3rd Class Passenger,347079£7 15s 6d,Southampton,Seaman,
246,"JOHNSON, Mrs Aliina Vilhelmina",27,3rd Class Passenger,347742£11 2s 8d,Southampton,,15*
247,"JOHNSON, Master Harold Theodor",4,3rd Class Passenger,347742£11 2s 8d,Southampton,,15*
248,"JOHNSON, Miss Eleanor Ileen",1,3rd Class Passenger,347742£11 2s 8d,Southampton,,15*
249,"JONSSON, Mr Karl",25,3rd Class Passenger,350417£7 17s 1d,Southampton,General Labourer,
250,"JUSSILA, Mr Eiriik",32,3rd Class Passenger,3101286£7 18s 6d,Southampton,,15*
251,"Second-class Titanic passenger from Belarus, Russia"" itemprop=""url"" href=""/titanic-survivor/miriam-kantor.html"">KANTOR, Mrs Miriam",24,2nd Class Passenger,244367£26,Southampton,,
252,"KARLSSON, Mr Einar Gervasius",21,3rd Class Passenger,350053£7 15s 11d,Southampton,Military,13
253,"KARUN, Mr Franz",39,3rd Class Passenger,349256£13 8s 4d,Cherbourg,Hotelier,
254,"KARUN, Miss Manca",5,3rd Class Passenger,349256£13 8s 4d,Cherbourg,,
255,"KEANE, Miss Nora Agnes",46,2nd Class Passenger,226593£12 7s,Queenstown,,10*
256,"KELLY, Mrs Fanny Maria",48,2nd Class Passenger,223596£13 10s,Southampton,,
257,"KELLY, Miss Anna Katherine",20,3rd Class Passenger,9234£7 15s,Queenstown,,
258,"KELLY, Miss Mary",22,3rd Class Passenger,14312£7 15s,Queenstown,,
259,"KENNEDY, Mr John",24,3rd Class Passenger,368783£7 15s,Queenstown,Farm Labourer,
260,"KENYON, Mrs Marion Estelle",40,1st Class Passenger,17464£51 17s 3d,Southampton,,8
261,"KIMBALL, Mr Edwin Nelson Jr.",42,1st Class Passenger,11753£52 11s 1d,Southampton,,5
262,"KIMBALL, Mrs Susan Gertrude",45,1st Class Passenger,11753£52 11s 1d,Southampton,,5
263,"KINK, Mr Anton",29,3rd Class Passenger,315153£22 6d,Southampton,,2
264,"KINK-HEILMANN, Mrs Luise",26,3rd Class Passenger,315153£22 6d,Southampton,,2
265,"KINK-HEILMANN, Miss Luise Gretchen",4,3rd Class Passenger,315153£22 6d,Southampton,,2
266,"KREKORIAN, Mr Neshan",25,3rd Class Passenger,2654£7 4s 7d,Cherbourg,General Labourer,10*
267,"KREUCHEN, Miss Emilie",29,1st Class PassengerServant,24160£211 6s 9d,Southampton,Personal Maid,2
268,"LAM, Mr Ah",38,3rd Class Passenger,1601£56 9s 11d,Southampton,Seaman,
269,"LANDERGREN, Miss Aurora Adelia",22,3rd Class Passenger,7077£7 5s,Southampton,,13*
